Ref,Val,Package,PosX,PosY,Rot,Side
"SW3","SW_SPST","SW_PUSH_6mm",130.650000,-95.100000,90.000000,top
"SW4","SW_SPST","SW_Tactile_SPDT_Omron_D2F",108.300000,-97.100000,0.000000,top
"SW5","SW_SPST","SW_Tactile_SPDT_Omron_D2F",108.300000,-122.730000,180.000000,top
"SW6","SW_SPST","C_0402_1005Metric",106.370000,-131.750000,0.000000,top
"SW7","SW_SPST","C_0402_1005Metric",106.420000,-134.100000,0.000000,top
"SW8","RotaryEncoder","EC10E1220503",116.800000,-89.700000,-90.000000,top
"U3","MCP73831-2-OT","SOT-23-5",121.962500,-131.150000,0.000000,top
"U5","nRF52840","Nordic_AQFN-73-1EP_7x7mm_P0.5mm",141.550000,-106.750000,0.000000,top
"Y1","32.768 Hz","FC135327680KAA",138.950000,-99.600000,0.000000,top
"Y2","32 Hz","ABM8A32000MHZD2YT3",144.850000,-99.600000,0.000000,top
